Trường ,Ma Truong,Diện tích đất đai(m2),Tổng diện tích giảng đường,"Thư viện (Diện tích, Số sách )",So sach ,"Ký túc xá(diện tích, số phòng )",so phong,Diện tích sân vận động
Đại Học Bà Rịa – Vũng Tàu,DBV,4.32,10971,275,,1000,50,
Đại Học Công Nghiệp Dệt May Hà Nội,CCM,6,15870,1000,,5182,,
Đại học Kinh Tế Nghệ An,CEA,1.58,12587,324,,576,64,5400
Đại Học Đông Á,DAD,2.97,20317,1928,,0,0,
Đại Học Bình Dương,DBD,4.33,16638,1062,,9047,,
Đại Học Quốc Tế Bắc Hà,DBH,15,4500,450,,,,
Đại Học Bạc Liêu,DBL,5,6274,2250,,6119,,
Đại Học Công Nghệ Đồng Nai,DCD,36.13,7770,3123,,5181,125,5564
Đại Học Cửu Long,,22.38,8809,995,,2113,29,4000
Đại Học Công Nghiệp Thực Phẩm TP HCM,,19.14,10858.7,485,30165,5472,94,4850
Đại Học Công Nghệ Đông Á,DDA,4.32,2100,650,,2000,30,1000
Đại Học Thành Đông,DDB,4.33,8200,250,,1250,,
Đại Học Ngoại Ngữ – Đại Học Đà Nẵng,DDF,4.33,10162,630,,0,0,1264
Đại Học Bách Khoa – Đại Học Đà Nẵng,DDK,52.9,20289,5040,,14636,322,756
Đại Học Điện Lực,DDL,4.34,13625,1176,3734,7539,168,9000
Đại Học Công Nghiệp Quảng Ninh,DDM,2.91,5847,2673,,8112,182,13680
Đại Học Đại Nam,DDN,11.32,13118,340,,5000,144,5000
Đại Học Kinh Tế – Đại Học Đà Nẵng,DDQ,4.47,18142,,,8431,132,5000
Đại Học Sư Phạm – Đại Học Đà Nẵng,DDS,4.67,12388,1330,98863,6089,161,4000
Đại Học Dân Lập Duy Tân,DDT,37.02,,1820,,9000,300,10000
Đại học Tài Chính – Quản Trị Kinh Doanh,,4.33,5804,365,,11488,221,3893
Đại học Luật - Đại Học Huế,DHA,4.31,10580,560,,,,450
Đại Học Ngoại Ngữ – Đại Học Huế,DHF,4.33,11818,623,,,,1269
Đại Học Kinh Tế – Đại Học Huế,DHK,4.31,10529,2000,,,,
Đại Học Nông Lâm – Đại Học Huế,DHL,77.43,7840,2400,,,,
Đại học Tài Chính Kế Toán,DKQ,6.2,5483,2365,,14051,247,0
Đại Học Hải Dương,DKT,29.89,10092,500,,9061,,
